date;rv_shk_btc;rr_shk_btc;rv_shk_snp;rr_shk_snp
01.01.2018;0.00379569166007638;-0.0237606146520011;5.86195121310486E-06;0.00194264044529633
02.01.2018;0.00552963479117871;0.0886893872824572;0.000015487688539148;0.00613841213173671
03.01.2018;0.00228706097502749;0.020011270784984;0.0000110231755986878;0.00646952348913565
04.01.2018;0.00226581136537026;0.000991578272733662;0.0000127353870154409;0.00468772401237949
05.01.2018;0.00269871861508129;0.117820477372975;0.0000198188390746589;0.00877676667490324
07.01.2018;0.00195606896123214;-0.0565366553236171;2.76167492538259E-06;-0.00252722481533851
08.01.2018;0.00733930348208771;-0.0714349076764069;0.0000117025745726513;-0.000091087124897804
09.01.2018;0.00352083891579275;-0.0294294176933256;0.0000170963995090114;0.00227469276007763
10.01.2018;0.00455358533532852;0.0294398729380187;0.0000248198586856297;0.00118090580104013
11.01.2018;0.0115181441351657;-0.113399987566044;0.0000138049366966738;0.00552312509090935
12.01.2018;0.00391400313840454;0.050531150587199;0.0000254538008355969;0.0110651815197644
14.01.2018;0.00228684122679329;-0.0381302245659505;4.91523585953078E-06;0.00217304025232383
15.01.2018;0.00179521860451498;-0.00293975122083445;5.67847085984911E-06;0.000536432735259496
16.01.2018;0.028733551746759;-0.159355160095265;0.0000446906274234372;-0.00456887692874997
17.01.2018;0.0334077750916014;-0.0521840128558395;0.0000277429234405522;0.00671473940624612
18.01.2018;0.0118887937713933;0.0224091722322601;0.0000360588457564712;-0.00259102222238461
19.01.2018;0.00612289332205361;0.0153304227844888;0.000032830383361027;0.00962999295111899
21.01.2018;0.0057278953404405;-0.099879288222148;0.0000124894223891629;0.00247252492376785
22.01.2018;0.00922867372902124;-0.067470355528501;0.0000199914699211162;0.0110684266298264
23.01.2018;0.00915508205355601;0.00694697657434595;0.0000210743600914869;-0.0000880552987840844
24.01.2018;0.00544810796347453;0.0456507229534573;0.0000503043575309218;0.000352205691762641
25.01.2018;0.00288506507254429;-0.0174454286742165;0.000038774114407502;0.00184704744890052
26.01.2018;0.00504485431189962;-0.00320585540793417;0.0000234893744498111;0.0156039695525143
28.01.2018;0.00113581476200511;0.0169599309507582;8.26640551958729E-06;-0.00271685738902017
29.01.2018;0.00122137533099023;-0.0335136917464016;0.0000463518553936738;-0.0121723119438153
30.01.2018;0.0053322623254641;-0.103958833409912;0.0000674600856631839;-0.00467723572530776
31.01.2018;0.0045166081333766;0.0152383026872798;0.0000554212683266054;0.00300274004650713
01.02.2018;0.0085634650427379;-0.118660398646266;0.0000729296438001228;-0.00636944828547925
02.02.2018;0.021191605305051;-0.0214446072653765;0.000155933164642441;-0.0320248977870286
04.02.2018;0.00944968754655029;-0.115391562425197;0.000101251041621167;0.00694418037622245
05.02.2018;0.0217844022268847;-0.17915007410317;0.00107951814799979;-0.0604996750606288
06.02.2018;0.0365677121300539;0.094866626274051;0.00158889950130945;0.0274719049091709
07.02.2018;0.013486914575823;-0.0273402145652071;0.00038582741509836;0.00346750734012336
08.02.2018;0.00850920230207099;0.0690198158602939;0.000598881325411853;-0.0253010132175389
09.02.2018;0.00499907508326328;0.0573290442491654;0.00111041358478694;0.00932704971007547
11.02.2018;0.00461590018625177;-0.0508584786565525;0.0000580976454969014;0.0138439377863832
12.02.2018;0.0033835308167431;0.0910677478355986;0.000239346717925283;0.00369091414131795
13.02.2018;0.00207804806027728;-0.0413829163278638;0.000121723092618113;0.00733913719502865
14.02.2018;0.00232041210395507;0.103338324776685;0.000407506440519957;0.0151680198287405
15.02.2018;0.003874029497508;0.0629721773527443;0.000105206326150484;0.010292316549795
16.02.2018;0.00208216541558375;0.0143129232300883;0.000158214473641044;0.00191991249469226
18.02.2018;0.00507268534055699;-0.0661590700674122;9.30991278094788E-06;0.0104385897674686
19.02.2018;0.00264327688308956;0.0668151981739165;0.0000326936149582221;-0.00575317782475171
20.02.2018;0.00363930629290378;0.00636792983203804;0.0000956905722970757;-0.00698275531109349
21.02.2018;0.00540747119660735;-0.0577231484581162;0.000135245783053722;-0.00786567697565399
22.02.2018;0.00395316507963639;-0.0592473348536071;0.000138246168309386;0.0104432352470534
23.02.2018;0.00282085978379048;0.0397127025602906;0.0000879632083747954;0.0141322792451919
25.02.2018;0.00231978535394053;0.00182391886416866;0.0000215260565750644;-0.000630314173953393
26.02.2018;0.00259844611851019;0.0699631756443058;0.000049325115805907;0.00976146579668935
27.02.2018;0.00180151508503491;0.0235407499224749;0.000129058006682353;-0.0125799206397277
28.02.2018;0.00200211779136743;-0.0243857254859332;0.00013604669155751;-0.0136630432277842
01.03.2018;0.00133731605644736;0.0603295434207975;0.000287965186687746;-0.0118905256013777
02.03.2018;0.00125669087318385;0.00813389974528711;0.000258984271360068;0.00880669786613675
04.03.2018;0.000755413429141297;0.00785823924940487;0.0000915387953649174;-0.0113304931701812
05.03.2018;0.000663481357249219;-0.00547474933833847;0.000116509793640371;0.0164956015386837
06.03.2018;0.00149634674365116;-0.0585448354907143;0.000213265624673247;-0.0102574479729478
07.03.2018;0.00569641119127625;-0.0804989492489625;0.000105905285099201;0.011451916806104
08.03.2018;0.00437180323752806;-0.06148850001955;0.0000687748244513439;0.00777715617631358
09.03.2018;0.00811738835012775;-0.0107331172919061;0.000136922960527629;0.0245429204055649
11.03.2018;0.00497488607905173;0.0892325322501257;0.0000223369054996848;0.00931095241537228
12.03.2018;0.0052423649043347;-0.0495960215011451;0.0000419960762519027;-0.00322061470004265
13.03.2018;0.00540125649421717;0.00819165097606422;0.0000823542575552841;-0.00791584595760675
